timestamp,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,bid_6_price,bid_6_size,bid_7_price,bid_7_size,bid_8_price,bid_8_size,bid_9_price,bid_9_size,bid_10_price,bid_10_size,bid_11_price,bid_11_size,bid_12_price,bid_12_size,bid_13_price,bid_13_size,bid_14_price,bid_14_size,bid_15_price,bid_15_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,ask_6_price,ask_6_size,ask_7_price,ask_7_size,ask_8_price,ask_8_size,ask_9_price,ask_9_size,ask_10_price,ask_10_size,ask_11_price,ask_11_size,ask_12_price,ask_12_size,ask_13_price,ask_13_size,ask_14_price,ask_14_size,ask_15_price,ask_15_size
1757800369.2722602,4656.60,16.51,4656.65,21.23,4656.57,21.22,4656.74,22.98,4656.47,26.25,4656.83,22.36,4656.37,23.08,4656.95,23.78,4656.24,36.24,4657.05,24.46,4656.13,21.34,4657.15,26.21,4656.02,32.16,4657.25,23.46,4655.91,23.87,4657.38,25.19,4655.77,32.47,4657.44,0.40,4655.65,27.70,4657.49,35.13,4655.55,25.43,4657.54,0.14,4655.50,0.50,4657.58,29.29,4655.45,0.03,4657.64,0.94,4655.44,30.70,4657.68,25.74,4655.32,27.46,4657.79,23.07
1757800370.562342,4656.60,16.51,4656.65,51.39,4656.57,21.22,4656.74,55.96,4656.47,26.25,4656.83,22.36,4656.37,23.08,4656.86,19.56,4656.24,36.24,4656.95,47.80,4656.13,21.34,4657.05,55.04,4656.02,32.16,4657.15,26.21,4655.91,23.87,4657.18,21.22,4655.77,32.47,4657.25,23.46,4655.65,27.70,4657.29,26.78,4655.55,25.43,4657.38,25.19,4655.50,0.50,4657.42,34.45,4655.45,0.03,4657.44,0.40,4655.44,30.70,4657.49,35.13,4655.32,27.46,4657.53,20.63
1757800370.66255,4656.60,16.51,4656.65,30.16,4656.57,21.22,4656.74,32.98,4656.47,26.25,4656.86,19.56,4656.37,23.08,4656.95,24.02,4656.24,36.24,4657.05,30.58,4656.13,21.34,4657.18,21.22,4656.02,32.16,4657.29,26.78,4655.91,23.87,4657.42,34.45,4655.77,32.47,4657.44,0.40,4655.65,27.70,4657.53,20.63,4655.55,25.43,4657.54,0.14,4655.50,0.50,4657.62,33.63,4655.45,0.03,4657.64,0.94,4655.44,30.70,4657.71,35.93,4655.32,27.46,4657.80,26.89
1757800370.7605386,4656.60,16.51,4656.65,30.16,4656.57,26.16,4656.74,32.98,4656.47,31.84,4656.86,19.56,4656.34,28.93,4656.95,24.02,4656.24,31.97,4657.05,30.58,4656.13,31.18,4657.18,21.22,4655.99,28.76,4657.29,26.78,4655.87,34.41,4657.42,34.45,4655.73,21.81,4657.44,0.40,4655.61,30.39,4657.53,20.63,4655.51,35.72,4657.54,0.14,4655.50,0.50,4657.62,33.63,4655.45,0.03,4657.64,0.94,4655.41,21.78,4657.71,35.93,4655.31,23.07,4657.80,26.89
1757800371.0606601,4656.60,16.51,4656.86,19.56,4656.57,26.16,4656.95,24.02,4656.47,31.84,4657.05,30.58,4656.34,28.93,4657.18,21.22,4656.24,31.97,4657.29,26.78,4656.13,31.18,4657.42,34.45,4655.99,28.76,4657.44,0.40,4655.87,34.41,4657.53,20.63,4655.73,21.81,4657.54,0.14,4655.61,30.39,4657.62,33.63,4655.51,35.72,4657.64,0.94,4655.50,0.50,4657.71,35.93,4655.45,0.03,4657.80,26.89,4655.41,21.78,4657.84,0.20,4655.31,23.07,4657.93,33.84
1757800371.163917,4656.77,29.97,4656.86,19.56,4656.67,25.68,4656.95,24.02,4656.60,16.51,4657.05,30.58,4656.57,26.16,4657.18,21.22,4656.47,31.84,4657.29,26.78,4656.34,28.93,4657.42,34.45,4656.24,31.97,4657.44,0.40,4656.13,31.18,4657.53,20.63,4655.99,28.76,4657.54,0.14,4655.87,34.41,4657.62,33.63,4655.73,21.81,4657.64,0.94,4655.61,30.39,4657.71,35.93,4655.51,35.72,4657.80,26.89,4655.50,0.50,4657.84,0.20,4655.45,0.03,4657.93,33.84
1757800371.2630875,4657.33,33.25,4657.44,0.40,4657.23,33.09,4657.53,20.63,4657.11,20.00,4657.54,0.14,4656.97,23.39,4657.62,33.63,4656.85,20.87,4657.64,0.94,4656.77,29.97,4657.71,35.93,4656.67,25.68,4657.80,26.89,4656.60,16.51,4657.84,0.20,4656.57,26.16,4657.93,33.84,4656.47,31.84,4658.03,26.79,4656.34,28.93,4658.16,26.45,4656.24,31.97,4658.27,29.23,4656.13,31.18,4658.39,29.70,4655.99,28.76,4658.48,0.74,4655.87,34.41,4658.49,21.25
1757800371.3628836,4657.48,20.86,4657.54,0.14,4657.38,22.31,4657.62,33.63,4657.33,33.25,4657.64,0.94,4657.23,33.09,4657.71,35.93,4657.11,20.00,4657.80,26.89,4656.97,23.39,4657.84,0.20,4656.85,20.87,4657.93,33.84,4656.77,29.97,4658.03,26.79,4656.67,25.68,4658.16,26.45,4656.60,16.51,4658.27,29.23,4656.57,26.16,4658.39,29.70,4656.47,31.84,4658.48,0.74,4656.34,28.93,4658.49,21.25,4656.24,31.97,4658.51,0.06,4656.13,31.18,4658.54,0.02
1757800372.5615315,4657.53,0.40,4657.54,0.14,4657.48,20.86,4657.62,33.63,4657.38,22.31,4657.64,0.94,4657.33,33.25,4657.71,35.93,4657.23,33.09,4657.80,26.89,4657.11,20.00,4657.84,0.20,4656.97,23.39,4657.93,33.84,4656.85,20.87,4658.03,26.79,4656.77,29.97,4658.16,26.45,4656.67,25.68,4658.27,29.23,4656.60,16.51,4658.39,29.70,4656.57,26.16,4658.48,0.74,4656.47,31.84,4658.49,21.25,4656.34,28.93,4658.51,0.06,4656.24,31.97,4658.54,0.02
1757800373.5630913,4657.53,0.40,4657.54,0.14,4657.48,20.86,4657.56,35.58,4657.38,22.31,4657.64,0.94,4657.33,33.25,4657.65,23.20,4657.23,33.09,4657.77,24.52,4657.11,20.00,4657.84,0.20,4656.97,23.39,4657.88,25.10,4656.85,20.87,4657.97,21.27,4656.77,29.97,4658.07,31.36,4656.67,25.68,4658.16,27.39,4656.60,16.51,4658.27,21.47,4656.57,26.16,4658.37,26.83,4656.47,31.84,4658.46,25.36,4656.34,28.93,4658.48,0.74,4656.24,31.97,4658.51,0.06
