timestamp,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,bid_6_price,bid_6_size,bid_7_price,bid_7_size,bid_8_price,bid_8_size,bid_9_price,bid_9_size,bid_10_price,bid_10_size,bid_11_price,bid_11_size,bid_12_price,bid_12_size,bid_13_price,bid_13_size,bid_14_price,bid_14_size,bid_15_price,bid_15_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,ask_6_price,ask_6_size,ask_7_price,ask_7_size,ask_8_price,ask_8_size,ask_9_price,ask_9_size,ask_10_price,ask_10_size,ask_11_price,ask_11_size,ask_12_price,ask_12_size,ask_13_price,ask_13_size,ask_14_price,ask_14_size,ask_15_price,ask_15_size
1757800369.3676817,3634.10,0.823,3635.13,0.778,3633.73,0.321,3635.49,0.333,3633.33,0.325,3635.85,0.256,3632.94,0.347,3636.24,0.282,3632.53,0.296,3636.63,0.302,3632.15,0.232,3637.00,0.304,3631.74,0.319,3637.39,0.271,3631.35,0.333,3637.76,0.419,3630.97,0.299,3638.16,0.403,3630.59,0.356,3638.54,0.346,3630.22,0.411,3638.93,0.284,3629.81,0.371,3639.34,0.349,3629.40,0.387,3639.75,0.421,3629.00,0.236,3640.16,0.394,3628.61,0.238,3640.57,0.370
1757800369.4604743,3634.10,0.680,3635.13,0.778,3633.73,0.320,3635.49,0.333,3633.36,0.409,3635.85,0.256,3632.96,0.355,3636.24,0.282,3632.56,0.266,3636.63,0.302,3632.19,0.271,3637.00,0.304,3631.80,0.288,3637.39,0.271,3631.43,0.277,3637.76,0.419,3631.03,0.405,3638.16,0.403,3630.65,0.239,3638.54,0.346,3630.26,0.342,3638.93,0.284,3629.85,0.270,3639.34,0.349,3629.44,0.272,3639.75,0.421,3629.03,0.316,3640.16,0.394,3628.62,0.287,3640.57,0.370
1757800371.570936,3634.10,0.680,3635.13,1.632,3633.73,0.320,3635.49,0.676,3633.36,0.409,3635.85,0.256,3632.96,0.355,3635.87,0.323,3632.56,0.266,3636.24,0.561,3632.19,0.271,3636.62,0.274,3631.80,0.288,3636.63,0.302,3631.43,0.277,3637.00,0.304,3631.03,0.405,3637.03,0.418,3630.65,0.239,3637.39,0.271,3630.26,0.342,3637.43,0.324,3629.85,0.270,3637.76,0.419,3629.44,0.272,3637.84,0.295,3629.03,0.316,3638.16,0.403,3628.62,0.287,3638.22,0.314
1757800371.661489,3634.10,0.489,3635.13,0.854,3633.73,0.275,3635.49,0.343,3633.34,0.252,3635.87,0.323,3632.96,0.255,3636.24,0.279,3632.57,0.275,3636.62,0.274,3632.16,0.391,3637.03,0.418,3631.76,0.414,3637.43,0.324,3631.35,0.389,3637.84,0.295,3630.97,0.248,3638.22,0.314,3630.56,0.381,3638.63,0.421,3630.19,0.322,3639.00,0.322,3629.81,0.361,3639.38,0.294,3629.44,0.312,3639.75,0.357,3629.04,0.288,3640.15,0.412,3628.64,0.379,3640.55,0.244
1757800373.861291,3634.10,0.489,3635.13,0.780,3633.73,0.275,3635.49,0.358,3633.34,0.252,3635.89,0.331,3632.96,0.255,3636.27,0.271,3632.57,0.275,3636.64,0.312,3632.55,0.285,3637.03,0.243,3632.16,0.391,3637.44,0.395,3631.76,0.414,3637.84,0.378,3631.35,0.801,3638.22,0.392,3630.97,0.558,3638.59,0.367,3630.56,0.381,3639.00,0.339,3630.19,0.322,3639.40,0.279,3629.81,0.361,3639.81,0.310,3629.44,0.312,3640.22,0.269,3629.04,0.288,3640.60,0.387
1757800373.9628704,3634.10,0.501,3635.13,0.780,3633.73,0.303,3635.49,0.358,3633.32,0.408,3635.89,0.331,3632.93,0.344,3636.27,0.271,3632.55,0.285,3636.64,0.312,3632.16,0.273,3637.03,0.243,3631.75,0.327,3637.44,0.395,3631.35,0.412,3637.84,0.378,3630.97,0.310,3638.22,0.392,3630.60,0.313,3638.59,0.367,3630.19,0.275,3639.00,0.339,3629.79,0.238,3639.40,0.279,3629.38,0.384,3639.81,0.310,3628.97,0.314,3640.22,0.269,3628.59,0.287,3640.60,0.387
1757800376.0620017,3634.10,0.501,3635.13,0.545,3633.73,0.303,3635.49,0.245,3633.32,0.408,3635.86,0.419,3632.93,0.344,3636.25,0.410,3632.55,0.285,3636.64,0.272,3632.16,0.273,3637.04,0.234,3631.75,0.327,3637.43,0.381,3631.35,0.412,3637.82,0.272,3630.97,0.310,3638.22,0.393,3630.60,0.313,3638.60,0.420,3630.19,0.275,3638.98,0.371,3629.79,0.238,3639.37,0.381,3629.38,0.384,3639.74,0.307,3628.97,0.314,3640.11,0.307,3628.59,0.287,3640.52,0.288
1757800376.160431,3634.10,0.773,3635.13,0.545,3633.73,0.353,3635.49,0.245,3633.35,0.329,3635.86,0.419,3632.95,0.307,3636.25,0.410,3632.55,0.419,3636.64,0.272,3632.15,0.356,3637.04,0.234,3631.76,0.272,3637.43,0.381,3631.37,0.272,3637.82,0.272,3630.97,0.347,3638.22,0.393,3630.59,0.296,3638.60,0.420,3630.21,0.412,3638.98,0.371,3629.82,0.279,3639.37,0.381,3629.45,0.355,3639.74,0.307,3629.08,0.328,3640.11,0.307,3628.67,0.408,3640.52,0.288
1757800378.3647888,3634.10,1.441,3635.13,0.714,3633.73,0.662,3635.49,0.237,3633.35,0.631,3635.86,0.379,3632.98,0.273,3636.22,0.399,3632.95,0.307,3636.59,0.285,3632.60,0.248,3637.00,0.256,3632.55,0.419,3637.39,0.412,3632.19,0.322,3637.80,0.369,3632.15,0.356,3638.21,0.388,3631.80,0.233,3638.58,0.326,3631.76,0.272,3638.98,0.344,3631.39,0.323,3639.39,0.265,3631.37,0.272,3639.76,0.361,3630.98,0.231,3640.13,0.377,3630.97,0.347,3640.53,0.300
1757800378.4643435,3634.10,0.668,3635.13,0.714,3633.73,0.309,3635.49,0.237,3633.35,0.302,3635.86,0.379,3632.98,0.273,3636.22,0.399,3632.60,0.248,3636.59,0.285,3632.19,0.322,3637.00,0.256,3631.80,0.233,3637.39,0.412,3631.39,0.323,3637.80,0.369,3630.98,0.231,3638.21,0.388,3630.61,0.282,3638.58,0.326,3630.21,0.316,3638.98,0.344,3629.80,0.389,3639.39,0.265,3629.43,0.392,3639.76,0.361,3629.06,0.370,3640.13,0.377,3628.66,0.360,3640.53,0.300
1757800380.5602915,3634.10,0.668,3635.13,0.820,3633.73,0.309,3635.49,0.277,3633.35,0.302,3635.89,0.409,3632.98,0.273,3636.29,0.419,3632.60,0.248,3636.68,0.380,3632.19,0.322,3637.07,0.300,3631.80,0.233,3637.48,0.337,3631.39,0.323,3637.85,0.246,3630.98,0.231,3638.26,0.296,3630.61,0.282,3638.65,0.386,3630.21,0.316,3639.03,0.289,3629.80,0.389,3639.40,0.365,3629.43,0.392,3639.81,0.282,3629.06,0.370,3640.19,0.395,3628.66,0.360,3640.60,0.318
1757800380.6630986,3634.10,0.674,3635.13,0.820,3633.73,0.324,3635.49,0.277,3633.32,0.365,3635.89,0.409,3632.91,0.266,3636.29,0.419,3632.51,0.401,3636.68,0.380,3632.12,0.424,3637.07,0.300,3631.71,0.385,3637.48,0.337,3631.34,0.313,3637.85,0.246,3630.93,0.315,3638.26,0.296,3630.54,0.396,3638.65,0.386,3630.16,0.396,3639.03,0.289,3629.79,0.254,3639.40,0.365,3629.38,0.412,3639.81,0.282,3629.00,0.271,3640.19,0.395,3628.59,0.360,3640.60,0.318
1757800382.8607686,3634.10,0.674,3635.13,1.339,3633.73,0.324,3635.49,0.607,3633.32,0.365,3635.87,0.314,3632.91,0.266,3635.89,0.409,3632.51,0.401,3636.25,0.308,3632.12,0.424,3636.29,0.419,3631.71,0.385,3636.64,0.285,3631.34,0.313,3636.68,0.380,3630.93,0.315,3637.04,0.347,3630.54,0.396,3637.07,0.300,3630.16,0.396,3637.44,0.235,3629.79,0.254,3637.48,0.337,3629.38,0.412,3637.85,0.577,3629.00,0.271,3638.24,0.248,3628.59,0.360,3638.26,0.296
1757800382.9616284,3634.10,0.674,3635.13,0.519,3633.73,0.324,3635.49,0.330,3633.32,0.365,3635.87,0.314,3632.91,0.266,3636.25,0.308,3632.51,0.401,3636.64,0.285,3632.12,0.424,3637.04,0.347,3631.71,0.385,3637.44,0.235,3631.34,0.313,3637.85,0.331,3630.93,0.315,3638.24,0.248,3630.54,0.396,3638.64,0.354,3630.16,0.396,3639.01,0.367,3629.79,0.254,3639.42,0.405,3629.38,0.412,3639.80,0.332,3629.00,0.271,3640.18,0.277,3628.59,0.360,3640.56,0.338
1757800383.0628107,3634.10,0.847,3635.13,0.519,3633.73,0.311,3635.49,0.330,3633.34,0.405,3635.87,0.314,3632.95,0.372,3636.25,0.308,3632.55,0.389,3636.64,0.285,3632.15,0.404,3637.04,0.347,3631.75,0.307,3637.44,0.235,3631.34,0.307,3637.85,0.331,3630.95,0.423,3638.24,0.248,3630.55,0.267,3638.64,0.354,3630.18,0.400,3639.01,0.367,3629.77,0.279,3639.42,0.405,3629.39,0.310,3639.80,0.332,3629.01,0.419,3640.18,0.277,3628.63,0.374,3640.56,0.338
1757800385.361624,3634.10,0.847,3635.13,0.843,3633.73,0.311,3635.49,0.413,3633.34,0.405,3635.89,0.318,3632.95,0.372,3636.25,0.343,3632.55,0.389,3636.62,0.257,3632.15,0.404,3637.01,0.351,3631.75,0.307,3637.40,0.359,3631.34,0.307,3637.81,0.350,3630.95,0.423,3638.22,0.308,3630.55,0.267,3638.59,0.423,3630.18,0.400,3639.00,0.332,3629.77,0.279,3639.40,0.398,3629.39,0.310,3639.78,0.373,3629.01,0.419,3640.18,0.315,3628.63,0.374,3640.55,0.335
1757800385.4624906,3634.10,0.817,3635.13,0.843,3633.73,0.632,3635.49,0.413,3633.34,0.405,3635.89,0.318,3633.32,0.247,3636.25,0.343,3632.95,0.748,3636.62,0.257,3632.57,0.384,3637.01,0.351,3632.18,0.370,3637.40,0.359,3631.79,0.337,3637.81,0.350,3631.75,0.307,3638.22,0.308,3631.38,0.339,3638.59,0.423,3631.34,0.307,3639.00,0.332,3630.97,0.320,3639.40,0.398,3630.95,0.423,3639.78,0.373,3630.60,0.258,3640.18,0.315,3630.19,0.288,3640.55,0.335
